DATE,MONTH,YEAR,DRIVER,GENDER,TYPE,CITY,PRICE,PAYMENT,START TIME,END TIME,HOUR,CAR,MILES,TRIP TIME
10/5/2013,10,2013,Naidan,m,SUV,San Francisco,,4977,7:43 PM,Dropoff time unknown,19,SUV,0.00,0:00:00
10/5/2013,10,2013,Ademar,m,BLACK,San Francisco,$35.00 ,4977,3:26 PM,3:56 PM,15,BLACK CAR,3.57,0:24:03
10/5/2013,10,2013,-,m,SUV,San Francisco,,4977,7:42 PM,Dropoff time unknown,19,,,
10/5/2013,10,2013,-,m,SUV,San Francisco,,4977,7:42 PM,Dropoff time unknown,19,,,
10/5/2013,10,2013,-,m,SUV,San Francisco,,4977,7:42 PM,Dropoff time unknown,19,,,
10/5/2013,10,2013,-,m,BLACK,San Francisco,,4977,7:39 PM,Dropoff time unknown,19,,,
10/5/2013,10,2013,-,m,BLACK,San Francisco,,4977,7:39 PM,Dropoff time unknown,19,,,
10/14/2013,10,2013,KHALID,m,TAXI,San Francisco,,4977,12:47 PM,,12,TAXI,0.00,0:00:00
10/14/2013,10,2013,hung,m,uberX,San Francisco,$15.00 ,4977,10:13 AM,10:30 AM,10,uberX,3.15,0:13:50
10/14/2013,10,2013,Joe,m,,San Francisco,$45.00 ,4977,4:23 PM,4:56 PM,16,BLACK CAR,7.65,0:23:06
10/14/2013,10,2013,Ali,m,,San Francisco,$41.00 ,4977,6:09 PM,6:51 PM,18,BLACK CAR,6.17,0:24:03
10/14/2013,10,2013,Ahmed,m,,San Francisco,$29.00 ,4977,3:40 PM,4:17 PM,15,uberX,6.68,0:28:51
10/19/2013,10,2013,Alaa,m,uberX,San Francisco,$12.00 ,4977,7:32 PM,7:50 PM,19,uberX,0.68,0:06:29
10/20/2013,10,2013,Mohamed,m,uberX,San Francisco,,4977,12:18 AM,,0,uberX,0.00,0:00:00
10/26/2013,10,2013,James,m,BLACK,San Francisco,$18.00 ,4977,9:23 PM,9:44 PM,21,BLACK CAR,1.67,0:09:22
10/26/2013,10,2013,Jack,m,SUV,San Francisco,$143.00 ,4977,11:36 PM,12:05 AM,23,SUV,4.20,0:21:35
10/27/2013,10,2013,Hiruy,m,uberX,San Francisco,$5.00 ,4977,3:51 AM,,3,uberX,0.00,0:00:00
11/9/2013,11,2013,Micheal,m,uberX,San Francisco,$8.00 ,4977,9:49 AM,10:03 AM,9,uberX,1.04,0:06:03
11/11/2013,11,2013,Aqeel,m,,San Francisco,$15.00 ,4977,5:30 PM,5:59 PM,17,BLACK CAR,0.59,0:06:13
11/16/2013,11,2013,Johnny,m,uberX,San Francisco,$11.00 ,5534,8:44 PM,9:05 PM,20,uberX,1.90,0:11:37
11/16/2013,11,2013,-,m,TAXI,San Francisco,,5534,11:34 PM,Dropoff time unknown,23,,,
11/17/2013,11,2013,Dawit,m,uberX,San Francisco,,5534,2:25 AM,,2,uberX,0.00,0:00:00
11/17/2013,11,2013,Eyasu,m,BLACK,San Francisco,,5534,2:22 AM,,2,BLACK CAR,0.00,0:00:00
11/17/2013,11,2013,Edip,m,BLACK,San Francisco,$10.00 ,5534,12:03 AM,Dropoff time unknown,0,BLACK CAR,0.00,0:00:00
11/17/2013,11,2013,Tal,m,TAXI,San Francisco,$11.65 ,5534,9:20 AM,9:33 AM,9,TAXI,2.06,0:07:52
11/17/2013,11,2013,Maria,m,uberX,San Francisco,$15.00 ,5534,1:13 AM,1:31 AM,1,uberX,3.49,0:11:22
11/17/2013,11,2013,NAPOLION,m,BLACK,San Francisco,$28.00 ,5534,2:26 AM,2:50 AM,2,BLACK CAR,0.55,0:19:55
11/18/2013,11,2013,RAKESH,m,uberX,San Francisco,$8.00 ,5534,1:39 PM,1:52 PM,13,uberX,0.72,0:03:51
11/19/2013,11,2013,Mikhail,m,,San Francisco,$75.00 ,5534,4:49 AM,5:32 AM,4,uberX,25.92,0:27:31
12/19/2013,12,2013,Wint,m,uberX,San Francisco,,,10:36 PM,,22,uberX,0.00,0:00:00
12/19/2013,12,2013,Ayaz,m,uberX,San Francisco,$5.00 ,5534,8:12 PM,Dropoff time unknown,20,uberX,0.00,0:00:00
12/19/2013,12,2013,Nanda,m,uberX,San Francisco,$5.00 ,5534,8:03 PM,,20,uberX,0.00,0:00:00
12/19/2013,12,2013,Adlan,m,uberX,San Francisco,$8.00 ,5534,7:43 PM,7:59 PM,19,uberX,0.30,0:02:36
12/27/2013,12,2013,K,m,uberX,San Francisco,$116.00 ,,11:37 AM,12:40 PM,11,uberX,41.23,0:52:28
